"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","percentCover","heightPlantOver300cm","heightPlantSpecies","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","duplicateTaxonIDBoutPer1m2QF","missingRecords1m2QF"
"8A1C8AECAA974AA5A9D4441AB443F58F","D03","OSBS",,"32.2.1",29.703787,-81.956733,"WGS84",0.7,"2013-07-01",1,"DIV.OSBS.2013.1","Y","2PLANT","Unknown plant","kingdom",,"Rhynchospora",0.5,"N",18.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,2,0
"23C2CCDB29764127B8BCDAF8D24BD03F","D03","OSBS",,"32.2.1",29.703787,-81.956733,"WGS84",0.7,"2013-07-01",1,"DIV.OSBS.2013.1","Y","CYRE5","Cyperus retrorsus Chapm.","species","cf. species",,0.5,"N",33.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0
"0021C007C8064CE593B936AB1757FC7C","D03","OSBS",,"31.4.1",29.703856,-81.956822,"WGS84",0.4,"2013-07-01",1,"DIV.OSBS.2013.1","Y","LIMI5","Licania michauxii Prance","species",,,8,"N",18.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0
"180AE7552FE84845937A133EBF562899","D03","OSBS",,"31.4.1",29.703856,-81.956822,"WGS84",0.4,"2013-07-01",1,"DIV.OSBS.2013.1","Y","TRUR","Tragia urens L.","species",,,0.5,"N",16.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0
"1A518A553ED34C998AAE40C307C73CA5","D03","OSBS",,"32.2.1",29.703787,-81.956733,"WGS84",0.7,"2013-07-01",1,"DIV.OSBS.2013.1","Y","LIPA8","Liatris pauciflora Pursh","species",,,0.5,"N",15.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0
"A41EDE5B671E4ED3B49CB9FF96AF43C1","D03","OSBS",,"32.2.1",29.703787,-81.956733,"WGS84",0.7,"2013-07-01",1,"DIV.OSBS.2013.1","Y","HIERA","Hieracium sp.","genus",,"HIME",0.5,"N",3.0,"NEON.DOC.014042","Lucas Majure FL","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0
"DAE1CF00F1384371A90E6C4AA5DCD6B4","D03","OSBS",,"31.4.1",29.703856,-81.956822,"WGS84",0.4,"2013-07-01",1,"DIV.OSBS.2013.1","Y","DYOB","Dyschoriste oblongifolia (Michx.) Kuntze","species",,,0.5,"N",7.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0
"AD45210452FD4B0F8B234203A43F8FD6","D03","OSBS",,"31.4.1",29.703856,-81.956822,"WGS84",0.4,"2013-07-01",1,"DIV.OSBS.2013.1","Y","ARBE7","Aristida beyrichiana Trin. & Rupr.","species",,,20,"N",44.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0
"16AE02D117B44496956CB4198AFB5A21","D03","OSBS",,"40.1.1",29.703868,-81.956912,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","POACEA","Poaceae sp.","family",,"Andropogon",5,"N",103.5,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0
"32E7C979A44445CDA957E7FAAE9A0C5C","D03","OSBS",,"40.3.1",29.703949,-81.956912,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","ARBE7","Aristida beyrichiana Trin. & Rupr.","species",,,10,"N",26.0,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0
