"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"8CADA969C346467DBD0E332CFE15AE4E","D03","OSBS",,"31.1.1",29.703777,-81.956919,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","soil",7,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"9ACD434310EE47D48ED2C85E5DD02F40","D03","OSBS",,"31.4.1",29.703856,-81.956822,"WGS84",0.4,"2013-07-01",1,"DIV.OSBS.2013.1","Y","wood",2,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"BB8375319E8C45C4B747D165ED039A9B","D03","OSBS",,"31.4.1",29.703856,-81.956822,"WGS84",0.4,"2013-07-01",1,"DIV.OSBS.2013.1","Y","litter",22,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"85B5498862C04B7CA17D0560D6062727","D03","OSBS",,"31.4.1",29.703856,-81.956822,"WGS84",0.4,"2013-07-01",1,"DIV.OSBS.2013.1","Y","soil",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"6B6E0DC0638D4EAF83AA0CF266B008B0","D03","OSBS",,"32.4.1",29.703868,-81.956733,"WGS84",0.7,"2013-07-01",1,"DIV.OSBS.2013.1","Y","litter",10,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"1C6AA4621F27476FBB55C70B82CF42AA","D03","OSBS",,"32.2.1",29.703787,-81.956733,"WGS84",0.7,"2013-07-01",1,"DIV.OSBS.2013.1","Y","wood",2,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"80340E0E7FEC47C18040A635ED50E04D","D03","OSBS",,"32.2.1",29.703787,-81.956733,"WGS84",0.7,"2013-07-01",1,"DIV.OSBS.2013.1","Y","soil",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"D0650AC598164722ACF493C8F5F58AB3","D03","OSBS",,"31.1.1",29.703777,-81.956919,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","litter",88,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"8B9F614F6A1B49CCB22F09A38A1FE84B","D03","OSBS",,"32.4.1",29.703868,-81.956733,"WGS84",0.7,"2013-07-01",1,"DIV.OSBS.2013.1","Y","wood",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"4E078CDA662F4DC1B41344F0A87822F7","D03","OSBS",,"40.1.1",29.703868,-81.956912,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","soil",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
