"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","nlcdClass","elevation","elevationUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF"
"A4C7CFC95D494065B2D9A8800FA1F6B8","D03","OSBS",,,,,,"evergreenForest",,,"2013-07-01",1,"DIV.OSBS.2013.1","Y","COER","Commelina erecta L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"6D97B7B80DA942E28D9ACB0674120AE7","D03","OSBS",,,,,,"evergreenForest",,,"2013-07-01",1,"DIV.OSBS.2013.1","Y","CRAR5","Croton argenteus L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"1C4ED5CDFAA54F72AD562BD7E7BC0FF0","D03","OSBS",,,,,,"evergreenForest",,,"2013-07-01",1,"DIV.OSBS.2013.1","Y","SCMU4","Scutellaria multiglandulosa (Kearney) Small ex Harper","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"21A9FC817CB34F879C5E1F24CF80DFD5","D03","OSBS",,,,,,"evergreenForest",,,"2013-07-01",1,"DIV.OSBS.2013.1","Y","CYFI4","Cyperus filiformis Sw.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"F1207475C277410AA35E2659EC8F58A9","D03","OSBS",,,,,,"evergreenForest",,,"2013-07-01",1,"DIV.OSBS.2013.1","Y","2PLANT","Unknown plant","kingdom",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","sedge?",,,0,0,0
"7B300902C3E34AF88EF27C6F86D276B9","D03","OSBS",,,,,,"evergreenForest",,,"2013-07-01",1,"DIV.OSBS.2013.1","Y","QUIN","Quercus incana W. Bartram","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"21D67B1079BD431D9B00D476340B203E","D03","OSBS",,,,,,"evergreenForest",,,"2013-07-01",1,"DIV.OSBS.2013.1","Y","ERAR13","Eryngium aromaticum Baldw.","species",,"Dalea","NEON.DOC.014042","Lucas Majure FL","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"D757B2381CFD46DE84337385AA1BB0EB","D03","OSBS",,,,,,"evergreenForest",,,"2013-07-01",1,"DIV.OSBS.2013.1","Y","SCLER2","Scleria sp.","genus",,"Sedge RHHA","NEON.DOC.014042","Lucas Majure FL","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"B2C26BB67CE6477AA3567EE0662AA958","D03","OSBS",,,,,,"evergreenForest",,,"2013-07-01",1,"DIV.OSBS.2013.1","Y","SETO7","Sericocarpus tortifolius (Michx.) Nees","species",,"Eupotorium","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
"5C912D98A5994EC181D02DD748DB7733","D03","OSBS",,,,,,"evergreenForest",,,"2013-07-01",1,"DIV.OSBS.2013.1","Y","CARPH","Carphephorus sp.","genus",,"Bright Green Rosette","NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K",,,,0,0,0
